,Registered Voters,Years in Use
231,24211.0,8.0
232,479804.0,10.000000000000002
233,1732.0,8.0
234,289874.0,8.0
235,35708.0,10.0
236,24009.0,0.0
237,503029.0,8.0
238,32262.0,8.0
239,39101.0,6.0
240,5038.0,10.000000000000002
241,12358.0,8.0
242,13030.0,10.0
243,693.0,6.0
244,5700.0,8.0
245,1022.0,6.0
246,438530.0,8.0
247,1008.0,8.0
248,4764.0,8.0
249,5284.0,8.0
250,44223.0,8.0
251,273109.0,8.0
252,10673.0,8.0
253,3211.0,8.0
254,12721.0,10.0
255,116224.0,10.000000000000002
256,864.0,6.0
257,9030.0,8.0
258,20051.0,8.0
259,31683.0,8.0
260,18684.0,8.0
261,12468.0,0.0
262,4762.0,8.0
263,15004.0,10.000000000000002
264,2880.0,8.0
265,14044.0,10.0
266,7199.0,8.0
267,116465.0,10.0
268,4522.0,8.0
269,8197.0,8.0
270,20147.0,8.0
271,4655.0,8.0
272,740.0,8.0
273,6189.0,8.0
274,1700.0,10.0
275,22161.0,8.0
276,19874.0,10.0
277,3339.0,10.0
278,233722.0,8.0
279,5883.0,8.0
280,13507.0,4.869536287447571
281,71542.0,4.869536287447572
282,13360.0,4.869536287447572
283,45260.0,4.869536287447571
284,15650.0,4.869536287447572
285,5742.0,4.869536287447571
286,41428.0,4.869536287447572
287,41279.0,4.869536287447571
288,13474.0,4.869536287447572
289,14481.0,4.869536287447571
290,9800.0,4.869536287447571
291,19887.0,4.86953628744757
292,58297.0,4.869536287447572
293,6530.0,4.869536287447571
294,18760.0,4.869536287447572
295,30039.0,4.869536287447572
296,2658.0,4.869536287447572
297,76716.0,4.869536287447571
298,16248.0,4.869536287447571
299,25288.0,4.869536287447571
300,7401.0,4.869536287447572
301,20047.0,4.869536287447572
302,12970.0,4.869536287447572
303,13822.0,4.869536287447571
304,16071.0,4.869536287447572
305,16131.0,4.869536287447572
306,37712.0,4.869536287447572
307,7241.0,4.869536287447571
308,8162.0,4.869536287447572
309,3789.0,4.869536287447572
310,30804.0,4.869536287447571
311,9209.0,4.869536287447571
312,26929.0,4.869536287447571
313,20449.0,4.869536287447572
314,25975.0,5.752958098523755
315,8555.0,4.869536287447571
316,64354.0,4.869536287447572
317,1502.0,5.0
318,35704.0,4.869536287447571
319,4739.0,4.8695362874475725
320,32267.0,5.895629029958057
321,21772.0,4.869536287447571
322,12663.0,4.869536287447571
323,13666.0,5.895629029958056
324,19474.0,4.869536287447572
325,32738.0,5.895629029958058
326,17288.0,5.895629029958057
327,10243.0,4.869536287447572
328,42386.0,4.869536287447572
329,19439.0,5.895629029958057
330,9110.0,4.869536287447571
331,22688.0,4.869536287447571
332,2913.0,4.869536287447572
333,2692.0,4.869536287447572
334,1392.0,5.0
335,751.0,5.0
336,1102.0,5.0
337,1159.0,5.0
338,2379.0,4.869536287447571
339,4520.0,4.869536287447572
340,2208.0,4.869536287447572
341,6303.0,4.869536287447571
342,1793.0,5.0
343,5142.0,4.869536287447572
344,18955.0,4.869536287447572
345,1146.0,5.0
346,2086.0,4.869536287447571
347,7838.0,4.869536287447572
348,1787.0,5.0
349,3053.0,4.869536287447571
350,1778.0,5.0
351,5369.0,4.869536287447571
352,21955.0,4.869536287447571
353,1113.0,5.0
354,2565.0,4.869536287447572
355,14929.0,4.869536287447572
356,7032.0,4.869536287447571
357,7361.0,4.869536287447571
358,2904.0,4.869536287447572
359,10252.0,4.869536287447571
360,11344.0,4.869536287447571
